"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 28 09:47:48 GMT 2025","Thu Aug 28 09:47:51 GMT 2025","3117","firefox","usingPageObjects.spec.ts","","","","navigate to forms page @smoke",""
"passed","Thu Aug 28 09:49:07 GMT 2025","Thu Aug 28 09:49:08 GMT 2025","1379","chromium","uiComponents.spec.ts","Form Layouts page","","","radio buttons ARGOS VISUAL assertion @regression",""
"passed","Thu Aug 28 09:49:04 GMT 2025","Thu Aug 28 09:49:07 GMT 2025","3187","chromium","uiComponents.spec.ts","Form Layouts page","","","test with argos.ci @regression",""
"passed","Fri Aug 22 16:03:11 GMT 2025","Fri Aug 22 16:03:13 GMT 2025","1962","chromium","uiComponents.spec.ts","Form Layouts page","","","temp slider",""
"passed","Thu Aug 28 09:49:08 GMT 2025","Thu Aug 28 09:49:10 GMT 2025","1733","chromium","uiComponents.spec.ts","Form Layouts page","","","browser dialog @regression",""
"passed","Fri Aug 22 16:03:28 GMT 2025","Fri Aug 22 16:03:34 GMT 2025","5444","firefox","firstTest.spec.ts","","","","user facing locators",""
"passed","Fri Aug 22 16:05:18 GMT 2025","Fri Aug 22 16:05:38 GMT 2025","20394","firefox","firstTest.spec.ts","increased action timeout","","","timeouts",""
"passed","Fri Aug 22 16:00:59 GMT 2025","Fri Aug 22 16:01:01 GMT 2025","1774","chromium","firstTest.spec.ts","","","","locating childs",""
"skipped","Fri Aug 22 16:06:52 GMT 2025","Fri Aug 22 16:06:52 GMT 2025","1","firefox","uiComponents.spec.ts","Form Layouts page","","","datepicker",""
"passed","Fri Aug 22 16:04:16 GMT 2025","Fri Aug 22 16:04:37 GMT 2025","20108","firefox","firstTest.spec.ts","","","","ajax locator timeout",""
"passed","Fri Aug 22 16:04:57 GMT 2025","Fri Aug 22 16:05:18 GMT 2025","20598","firefox","firstTest.spec.ts","","","","ajax waitForResponse",""
"passed","Fri Aug 22 16:03:38 GMT 2025","Fri Aug 22 16:03:43 GMT 2025","4439","firefox","firstTest.spec.ts","","","","locating parents",""
"passed","Thu Aug 28 09:47:33 GMT 2025","Thu Aug 28 09:47:40 GMT 2025","7304","chromium","testMobile.spec.ts","","","","input fields @smoke",""
"passed","Thu Aug 28 09:49:19 GMT 2025","Thu Aug 28 09:49:21 GMT 2025","2374","firefox","uiComponents.spec.ts","Form Layouts page","","","radio buttons ARGOS VISUAL assertion @regression",""
